case_id,case_type,alpha_elapsed_ms,baseline_elapsed_ms,speedup,alpha_candidate_rules,baseline_candidate_rules,filter_ratio
complete_0001,complete,0.017250014934688807,2.1480420255102217,124.52406758156658,5,5121,0.0009763718023823472
complete_0002,complete,0.008750008419156075,2.099042001646012,239.89028365397408,5,5121,0.0009763718023823472
complete_0003,complete,0.006249989382922649,2.1227499819360673,339.6405740682102,5,5121,0.0009763718023823472
complete_0004,complete,0.005624955520033836,2.200125018134713,391.1364294879755,5,5121,0.0009763718023823472
complete_0005,complete,0.006709014996886253,2.0266249775886536,302.07489154954015,7,5121,0.0013669205233352861
complete_0006,complete,0.009958981536328793,2.0755829755216837,208.4131763825733,10,5121,0.0019527436047646943
complete_0007,complete,0.008500006515532732,2.1286249975673854,250.42627834197316,9,5121,0.0017574692442882249
complete_0008,complete,0.004916975740343332,2.13479099329561,434.16748546872964,5,5121,0.0009763718023823472
complete_0009,complete,0.005458015948534012,2.27537500904873,416.8868377271564,5,5121,0.0009763718023823472
complete_0010,complete,0.013542012311518192,2.1898330305702984,161.70661938534278,5,5121,0.0009763718023823472
complete_0011,complete,0.0069160014390945435,2.237665990833193,323.5490927147859,5,5121,0.0009763718023823472
complete_0012,complete,0.008458038792014122,2.1974999690428376,259.81199933933436,9,5121,0.0017574692442882249
complete_0013,complete,0.004332978278398514,2.142541983630508,494.4732804943579,3.5,5121,0.0006834602616676431
complete_0014,complete,0.02058298559859395,2.3571670171804726,114.52017035572787,18,5121,0.0035149384885764497
complete_0015,complete,0.016583013348281384,2.331750001758337,140.61075347322162,18,5121,0.0035149384885764497
complete_0016,complete,0.017082958947867155,2.3297499865293503,136.3785977381995,14,5121,0.0027338410466705722
complete_0017,complete,0.027875008527189493,2.273291989695281,81.55305091576545,14,5121,0.0027338410466705722
complete_0018,complete,0.013834040146321058,2.2870420361869037,165.3198929594769,12,5121,0.0023432923257176333
complete_0019,complete,0.01629104372113943,2.3351659765467048,143.34047692208748,12,5121,0.0023432923257176333
complete_0020,complete,0.012666976545006037,2.3794170119799674,187.8441160387286,10.5,5121,0.002050380785002929
complete_0021,complete,0.014417048078030348,2.4644170189276338,170.9376985905371,13,5121,0.0025385666861941028
complete_0022,complete,0.027041009161621332,2.675459021702409,98.94079787153893,20,5121,0.0039054872095293887
complete_0023,complete,0.03612495493143797,2.3591669742017984,65.30574165917419,20,5121,0.0039054872095293887
complete_0024,complete,0.021250045392662287,2.38100002752617,112.04682077283174,22,5121,0.004296035930482328
complete_0025,complete,0.017041980754584074,2.3405840038321912,137.34225132267,20,5121,0.0039054872095293887
complete_0026,complete,0.01812499249354005,2.342624997254461,129.24832923872376,20,5121,0.0039054872095293887
complete_0027,complete,0.017499958630651236,2.2872500121593475,130.7003096654881,20,5121,0.0039054872095293887
complete_0028,complete,0.017417012713849545,2.3082090192474425,132.52611438998468,20,5121,0.0039054872095293887
complete_0029,complete,0.027999980375170708,2.303624991327524,82.27237878246119,26,5121,0.0050771333723882055
complete_0030,complete,0.016583013348281384,2.1873749792575836,131.90455397446067,20,5121,0.0039054872095293887
complete_0031,complete,0.01612497726455331,2.2529999841935933,139.7211262521433,20,5121,0.0039054872095293887
complete_0032,complete,0.022625026758760214,2.231582999229431,98.633386073914,26,5121,0.0050771333723882055
complete_0033,complete,0.01629203325137496,2.316833008080721,142.20649886564604,20,5121,0.0039054872095293887
complete_0034,complete,0.03554200520738959,2.2824580082669854,64.21860542050779,26,5121,0.0050771333723882055
complete_0035,complete,0.022541964426636696,2.63216596795246,116.76737298201762,26,5121,0.0050771333723882055
complete_0036,complete,0.016250007320195436,2.5951669667847455,159.7025106296096,20,5121,0.0039054872095293887
complete_0037,complete,0.024250010028481483,2.502041985280812,103.1769464153697,21,5121,0.004100761570005858
complete_0038,complete,0.01895800232887268,2.5721670244820416,135.67711301336215,20,5121,0.0039054872095293887
complete_0039,complete,0.017167010810226202,2.6960420073010027,157.04784234742834,21,5121,0.004100761570005858
complete_0040,complete,0.020374951418489218,2.4176249862648547,118.6567239650439,19,5121,0.003710212849052919
complete_0041,complete,0.010584015399217606,2.3945419816300273,226.24135465704606,12,5121,0.0023432923257176333
complete_0042,complete,0.012749980669468641,2.353375020902604,184.57871285546673,12,5121,0.0023432923257176333
complete_0043,complete,0.03850000211969018,2.2502500214613974,58.44804928752315,12,5121,0.0023432923257176333
complete_0044,complete,0.010458985343575478,2.2664170246571302,216.69568798557466,12,5121,0.0023432923257176333
complete_0045,complete,0.01254095695912838,2.277458959724754,181.60168854315577,14,5121,0.0027338410466705722
complete_0046,complete,0.010249961633235216,2.2168750292621553,216.28130022204175,12,5121,0.0023432923257176333
complete_0047,complete,0.017457990907132626,2.1789169986732304,124.80914959023225,19,5121,0.003710212849052919
complete_0048,complete,0.010374991688877344,2.1909589995630085,211.1769402101649,12,5121,0.0023432923257176333
complete_0049,complete,0.010791001841425896,2.189875056501478,202.935287073597,12,5121,0.0023432923257176333
complete_0050,complete,0.013041018974035978,2.2182089742273092,170.09475859544818,16,5121,0.003124389767623511
complete_0051,complete,0.009916024282574654,2.196791989263147,221.53959355702176,12,5121,0.0023432923257176333
complete_0052,complete,0.015624973457306623,2.226416952908039,142.49092704006557,9,5121,0.0017574692442882249
complete_0053,complete,0.011708005331456661,2.188707992900163,186.94115102763223,13,5121,0.0025385666861941028
complete_0054,complete,0.01091696321964264,2.1840420085936785,200.0594821702781,12,5121,0.0023432923257176333
complete_0055,complete,0.009082956239581108,2.2114579915069044,243.47337289482454,10,5121,0.0019527436047646943
complete_0056,complete,0.010000017937272787,2.156041970010847,215.60381026664882,8,5121,0.0015621948838117556
complete_0057,complete,0.01191598130390048,2.120250021107495,177.93331216569376,13,5121,0.0025385666861941028
complete_0058,complete,0.011167023330926895,2.125540981069207,190.34087402527,13,5121,0.0025385666861941028
complete_0059,complete,0.011458003427833319,2.1330000017769635,186.1580872454241,13,5121,0.0025385666861941028
complete_0060,complete,0.0077500008046627045,2.16208299389109,278.9784218590398,8,5121,0.0015621948838117556
complete_0061,complete,0.007541966624557972,2.1187079837545753,280.92248205603147,8,5121,0.0015621948838117556
complete_0062,complete,0.012917036656290293,2.1633749711327255,167.48229711643754,15,5121,0.0029291154071470417
complete_0063,complete,0.012749980669468641,2.121875004377216,166.42182128623148,15,5121,0.0029291154071470417
complete_0064,complete,0.007375027053058147,2.1230409620329738,287.8689049896608,8,5121,0.0015621948838117556
complete_0065,complete,0.011083029676228762,2.159500028938055,194.8474462330296,13,5121,0.0025385666861941028
complete_0066,complete,0.007333001121878624,2.1500829607248306,293.2064137164629,8,5121,0.0015621948838117556
complete_0067,complete,0.007041962817311287,2.1357079967856407,303.2830550504216,8,5121,0.0015621948838117556
complete_0068,complete,0.005750043783336878,2.2176249767653644,385.6709723136104,5,5121,0.0009763718023823472
complete_0069,complete,0.005249981768429279,2.1726249833591282,413.8347672794199,5,5121,0.0009763718023823472
complete_0070,complete,0.011124997399747372,2.1987090003676713,197.6368102717579,12,5121,0.0023432923257176333
complete_0071,complete,0.005291949491947889,2.178249997086823,411.61579497332673,5,5121,0.0009763718023823472
complete_0072,complete,0.006250047590583563,2.1842909627594054,349.48389289871943,6,5121,0.0011716461628588166
complete_0073,complete,0.010750023648142815,2.1831669728271663,203.08485304628445,12,5121,0.0023432923257176333
complete_0074,complete,0.012167030945420265,2.2785000037401915,187.26836596054116,14,5121,0.0027338410466705722
complete_0075,complete,0.010167015716433525,2.2238329984247684,218.7301623651728,12,5121,0.0023432923257176333
complete_0076,complete,0.010750023648142815,2.2015420254319906,204.79415650516557,13,5121,0.0025385666861941028
complete_0077,complete,0.016790989320725203,2.177624963223934,129.69009280090964,20,5121,0.0039054872095293887
complete_0078,complete,0.010749965440481901,2.2009160020388663,204.73703047925363,13,5121,0.0025385666861941028
complete_0079,complete,0.009958050213754177,2.2953340085223317,230.50034487192977,12,5121,0.0023432923257176333
complete_0080,complete,0.0118750031106174,2.245333045721054,189.08062800535265,14,5121,0.0027338410466705722
complete_0081,complete,0.0118750031106174,2.1970420493744314,185.01401885192465,14,5121,0.0027338410466705722
complete_0082,complete,0.013625016435980797,2.197915979195386,161.31473965720537,17,5121,0.0033196641280999807
complete_0083,complete,0.010209041647613049,2.1870420314371586,214.22598779862022,12,5121,0.0023432923257176333
complete_0084,complete,0.01004204386845231,2.183999982662499,217.48560465102798,12,5121,0.0023432923257176333
complete_0085,complete,0.007916998583823442,2.22416699398309,280.9356311529045,8,5121,0.0015621948838117556
complete_0086,complete,0.010583957191556692,2.212124993093312,209.00736398083936,12,5121,0.0023432923257176333
complete_0087,complete,0.0072499969974160194,2.234665967989713,308.2299163415065,8,5121,0.0015621948838117556
complete_0088,complete,0.0072080292738974094,2.18250002944842,302.78734263080116,8,5121,0.0015621948838117556
complete_0089,complete,0.013083976227790117,2.180707990191877,166.67012781329382,15,5121,0.0029291154071470417
complete_0090,complete,0.007207971066236496,2.224041963927448,308.55312035661217,8,5121,0.0015621948838117556
complete_0091,complete,0.011499971151351929,2.1182920318096876,184.19976919339163,8,5121,0.0015621948838117556
complete_0092,complete,0.007833004929125309,2.126166014932096,271.43682841643755,8,5121,0.0015621948838117556
complete_0093,complete,0.012458011042326689,2.1530420053750277,172.8238960504983,12,5121,0.0023432923257176333
complete_0094,complete,0.007916998583823442,2.138499985449016,270.1149890084036,8,5121,0.0015621948838117556
complete_0095,complete,0.007499998901039362,2.1385420113801956,285.138976631561,8,5121,0.0015621948838117556
complete_0096,complete,0.008375034667551517,2.1109170047566295,252.04874827984042,9,5121,0.0017574692442882249
complete_0097,complete,0.007499998901039362,2.1242909715510905,283.2388377092566,8,5121,0.0015621948838117556
complete_0098,complete,0.009041978046298027,2.1264590322971344,235.17631002961247,10,5121,0.0019527436047646943
complete_0099,complete,0.008207978680729866,2.1743749966844916,264.90992255978216,9,5121,0.0017574692442882249
complete_0100,complete,0.0077909789979457855,2.209374972153455,283.5811741677126,8,5121,0.0015621948838117556
